date,meantemp
1/1/2013,10
1/2/2013,7.4
1/3/2013,7.166666667
1/4/2013,8.666666667
1/5/2013,6
1/6/2013,7
1/7/2013,7
1/8/2013,8.857142857
1/9/2013,14
1/10/2013,11
1/11/2013,15.71428571
1/12/2013,14
1/13/2013,15.83333333
1/14/2013,12.83333333
1/15/2013,14.71428571
1/16/2013,13.83333333
1/17/2013,16.5
1/18/2013,13.83333333
1/19/2013,12.5
1/20/2013,11.28571429
1/21/2013,11.2
1/22/2013,9.5
1/23/2013,14
1/24/2013,13.83333333
1/25/2013,12.25
1/26/2013,12.66666667
1/27/2013,12.85714286
1/28/2013,14.83333333
1/29/2013,14.125
1/30/2013,14.71428571
1/31/2013,16.2
2/1/2013,16
2/2/2013,16.28571429
2/3/2013,18
2/4/2013,17.42857143
2/5/2013,16.625
2/6/2013,16.66666667
2/7/2013,15.6
2/8/2013,14
2/9/2013,15.42857143
2/10/2013,15.25
2/11/2013,15.875
2/12/2013,15.33333333
2/13/2013,16.28571429
2/14/2013,17.33333333
2/15/2013,19.16666667
2/16/2013,14.42857143
2/17/2013,13.66666667
2/18/2013,15.6
2/19/2013,15.85714286
2/20/2013,17.71428571
2/21/2013,20
2/22/2013,20.5
2/23/2013,17.42857143
2/24/2013,16.85714286
2/25/2013,16.875
2/26/2013,17.85714286
2/27/2013,20.8
2/28/2013,19.42857143
3/1/2013,17.33333333
3/2/2013,19
3/3/2013,19.33333333
3/4/2013,17.6
3/5/2013,20.875
3/6/2013,20.85714286
3/7/2013,23.42857143
3/8/2013,24.16666667
3/9/2013,25.42857143
3/10/2013,23.14285714
3/11/2013,24
3/12/2013,23.5
3/13/2013,21.5
3/14/2013,22.33333333
3/15/2013,24.16666667
3/16/2013,20.33333333
3/17/2013,22.66666667
3/18/2013,23.42857143
3/19/2013,22.5
3/20/2013,29.16666667
3/21/2013,23.83333333
3/22/2013,25.25
3/23/2013,27.375
3/24/2013,27
3/25/2013,23.5
3/26/2013,24.14285714
3/27/2013,21
3/28/2013,22.42857143
3/29/2013,21.25
3/30/2013,23.5
3/31/2013,23.2
4/1/2013,25.375
4/2/2013,25.16666667
4/3/2013,26.2
4/4/2013,24.6
4/5/2013,25.6
4/6/2013,25.85714286
4/7/2013,29.14285714
4/8/2013,28.71428571
4/9/2013,30.16666667
4/10/2013,30
4/11/2013,30
4/12/2013,28.85714286
4/13/2013,30.2
4/14/2013,28.25
4/15/2013,28.25
4/16/2013,32.125
4/17/2013,29.2
4/18/2013,30.28571429
4/19/2013,28.28571429
4/20/2013,30.625
4/21/2013,27.66666667
4/22/2013,27.375
4/23/2013,28.625
4/24/2013,30.28571429
4/25/2013,31.14285714
4/26/2013,29.875
4/27/2013,31.14285714
4/28/2013,30.57142857
4/29/2013,32.125
4/30/2013,31.14285714
5/1/2013,31.85714286
5/2/2013,29.83333333
5/3/2013,28.57142857
5/4/2013,32.85714286
5/5/2013,32.625
5/6/2013,32.75
5/7/2013,32.875
5/8/2013,34.5
5/9/2013,34.28571429
5/10/2013,34
5/11/2013,30.75
5/12/2013,29.85714286
5/13/2013,31.71428571
5/14/2013,32.28571429
5/15/2013,33
5/16/2013,33
5/17/2013,32.83333333
5/18/2013,31.4
5/19/2013,35.33333333
5/20/2013,36.4
5/21/2013,36
5/22/2013,36.75
5/23/2013,37.5
